 *** ZZT:Watch ***
File: D:\ZZT\Watch_ZAKUCA1A-ZAKUCA1A_089.log
Computer: INEM1332-NB; User: anto.maric
Connection: Telnet 192.168.0.11:23
Target: D105OSCZ; Application: ZAKUCA1A-ZAKUCA1A
Start time: 21.2.2025. 15:03:14

Signals: 16
 1.    VGACT int16
 2.     PACT int16
 3.     QACT int16
 4.    VGREF int16
 5.    PACTH int16
 6.    QACTH int16
 7.    QHREF int16
 8.    VHACT int16
 9.    VHREF int16
10.  COSPHIH int16
11.  COSHREF int16
12.    IFACT int16
13.    UFACT int16
14.  COSHINC log16
15.  COSHDEC log16
16. COHREFCC int16

Data:
  20.217 -21520  11450  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3422   3437 0 0   1000 
  20.316 -21521  11469  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3423   3447 0 0   1000 
  20.390 -21521  11469  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3424   3449 0 0   1000 
  20.500 -21522  11471  -7038  21978  11673  -8052      0 -22570  24179   5798      0   3423   3465 0 0   1000 
  20.589 -21521  11464  -7031  21978  11673  -8052      0 -22570  24179   5798      0   3417   3467 0 0   1000 
  20.671 -21521  11471  -7031  21978  11673  -8052      0 -22570  24179   5798      0   3425   3445 0 1   1000 
  20.745 -21523  11469  -7043  21978  11673  -8052      0 -22570  24179   5798      0   3425   3455 0 0   1000 
  20.844 -21523  11487  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3427   3467 0 0   1000 
  20.943 -21522  11500  -7031  21978  11673  -8052      0 -22570  24179   5798      0   3429   3466 0 0   1000 
  21.027 -21522  11500  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3429   3464 0 0   1000 
  21.109 -21522  11471  -7025  21978  11673  -8052      0 -22570  24179   5798      0   3429   3462 0 0   1000 
  21.209 -21523  11450  -7025  21978  11673  -8052      0 -22570  24179   5798      0   3423   3457 0 0   1000 
  21.308 -21524  11428  -7031  21978  11673  -8052      0 -22570  24179   5798      0   3421   3450 0 1   1000 
  21.407 -21526  11405  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3417   3439 0 0   1000 
  21.506 -21523  11417  -7034  21978  11673  -8052      0 -22570  24179   5798      0   3416   3426 0 0   1000 
  21.596 -21523  11455  -7040  21978  11673  -8052      0 -22570  24179   5798      0   3421   3451 0 0   1000 
  21.679 -21522  11478  -7034  21978  11673  -8052      0 -22566  24179   5798      0   3423   3439 0 0   1000 
  21.820 -21523  11489  -7040  21978  11673  -8052      0 -22562  24179   5798      0   3425   3472 0 0   1000 
  21.893 -21523  11489  -7031  21978  11673  -8052      0 -22562  24179   5798      0   3427   3473 0 1   1000 
  21.974 -21523  11469  -7029  21978  11673  -8052      0 -22562  24179   5798      0   3428   3459 0 0   1000 
